run,train_start,train_end,test_start,test_end,train_rows,test_rows,mae_internal_air_temp_c,rmse_internal_air_temp_c,r2_internal_air_temp_c,mae_internal_radiation,rmse_internal_radiation,r2_internal_radiation,mae_ET0,rmse_ET0,r2_ET0,mae_internal_rh_pct,rmse_internal_rh_pct,r2_internal_rh_pct
20,2025-05-29 01:00:00,2025-06-28 01:00:00,2025-06-28 01:10:00,2025-06-29 01:00:00,4320,144,0.43547492100573426,0.5350784777152189,0.9881768283632448,12.953484137248584,22.121589264001848,0.9946692380617618,0.0032598625513874636,0.004306457324209335,0.991235778620915,3.420248164613274,5.060514317032392,0.8787570646016124
21,2025-05-29 01:00:00,2025-06-29 01:00:00,2025-06-29 01:10:00,2025-06-30 01:00:00,4464,144,0.34598210396865603,0.47469678090362943,0.9897249923739811,14.321704832152294,23.88292992511696,0.9932037725989988,0.0023812793942579796,0.003280009585241614,0.9949409871431744,2.3649376887303193,3.3742057301945114,0.9236017577838694
22,2025-05-29 01:00:00,2025-06-30 01:00:00,2025-06-30 01:10:00,2025-07-01 01:10:00,4608,144,0.24368739591489,0.30662846020782,0.9935344323451041,16.411046940400098,27.323863095241904,0.9886742757686845,0.0028165664893486765,0.004609651734820183,0.9878190904454202,1.3175356506796887,1.8411059144732456,0.973277371856059
23,2025-05-29 01:00:00,2025-07-01 01:10:00,2025-07-01 01:20:00,2025-07-02 01:10:00,4752,144,0.781281731116714,0.9888745891672143,0.9525195500765572,29.00266096056867,50.04163220806754,0.9584934880579797,0.005165683582222455,0.008167869150457403,0.9654210680624529,4.283020436388766,5.281781211279405,0.831034670351223
24,2025-05-29 01:00:00,2025-07-02 01:10:00,2025-07-02 01:20:00,2025-07-03 01:10:00,4896,144,0.38523562210457385,0.48850282122620525,0.987517816722673,15.158483598596352,24.832274530214406,0.9935432007564903,0.00247069079677538,0.003745070689130535,0.9934841216269424,1.9569829677823602,2.528585940754043,0.9282762682720687
25,2025-05-29 01:00:00,2025-07-03 01:10:00,2025-07-03 01:20:00,2025-07-04 01:10:00,5040,144,0.19405450164602944,0.2558076880727959,0.996169687958983,10.358080835686696,18.368653892034818,0.9950861888832753,0.0016861220094469076,0.002484627793570342,0.9963470304058641,1.3042209532727496,1.8210147051496715,0.9658245079093292
26,2025-05-29 01:00:00,2025-07-04 01:10:00,2025-07-04 01:20:00,2025-07-05 01:10:00,5184,144,0.28701673542356976,0.36609522792661,0.9923214200639049,15.788383555968531,28.205941326578582,0.9884270989070283,0.001955415627970888,0.00328431208713252,0.994107932973941,1.315070988153237,1.6877755453388814,0.9709674571456138
27,2025-05-29 01:00:00,2025-07-05 01:10:00,2025-07-05 01:20:00,2025-07-06 01:10:00,5328,144,0.3451846841597351,0.4266136695875816,0.9891274632902353,22.817261698979088,40.48277376316681,0.9734645229399459,0.0034554119723848417,0.005759249777872895,0.9795123993069511,1.4616840973157077,1.8734308159449244,0.9615218185191404
28,2025-05-29 01:00:00,2025-07-06 01:10:00,2025-07-06 01:20:00,2025-07-07 01:10:00,5472,144,0.25441822793066204,0.3833518329474277,0.9911232163595682,14.767265214719252,25.37065222674316,0.9879902881605279,0.00183021384461642,0.00297490575654481,0.9942521978153948,1.162852132212046,1.5446856358782963,0.9770849881307488
29,2025-05-29 01:00:00,2025-07-07 01:10:00,2025-07-07 01:20:00,2025-07-08 01:10:00,5616,144,0.24217515627615147,0.3065663691328168,0.9932944696976878,18.831501978679924,33.314866278848406,0.9790319410750137,0.002204184143285241,0.0032907903955481377,0.9929224398113188,1.6322722142434172,2.035365036146749,0.9606040368479511
30,2025-05-29 01:00:00,2025-07-08 01:10:00,2025-07-08 01:20:00,2025-07-09 01:10:00,5760,144,0.19116844044175052,0.26391738698405554,0.9950916768799271,12.206688040795395,20.76106225966763,0.9935855499879924,0.0020150691967736425,0.0029049029941696117,0.9950996493743426,1.0583061309611939,1.3273105337100375,0.9781148644290412
