target,feature,importance_gain,importance_share
internal_rh_pct,minutes_since_sunset,423071.0893855095,0.022898224220346805
internal_radiation,station_pressure_hpa,22033673.65496826,0.001917115930676608
internal_radiation,rel_humidity_ext,7313054.823623657,0.000636297610821654
internal_radiation,temp_c_ext,14919517.27116394,0.0012981241660581537
internal_radiation,temp_max_c_ext,41157401.3256073,0.0035810419534275323
internal_radiation,temp_min_c_ext,30438760.65548706,0.002648429575407118
internal_radiation,temp_ground_c_ext,33988511.338974,0.002957287902520831
internal_radiation,wind_dir_deg,18907023.841552734,0.0016450709571143188
internal_radiation,gust_dir_deg,7560285.550231934,0.00065780877468636
internal_radiation,wind_speed_max_1m_ms,9160999.510299683,0.0007970844252817551
internal_radiation,wind_speed_max_10m_ms,26730790.70550537,0.002325804834163519
internal_radiation,gust_speed_ms,10814919.69255066,0.0009409894671332735
internal_radiation,wind_dir_std_deg,9227664.568603516,0.0008028848490919237
internal_radiation,vpd_ext,6520780.274398804,0.0005673630253515587
internal_radiation,abs_humidity_ext,9249975.151687622,0.0008048260584845563
internal_radiation,dew_point_ext,10381264.721420288,0.0009032578175413918
internal_radiation,diffuse_rad_wm2,1545196111.9892426,0.13444512833864972
internal_radiation,global_rad_wm2,7356409086.815094,0.6400697983346658
internal_radiation,direct_rad_wm2,37985430.43373108,0.003305053662791885
internal_radiation,hour_of_day,425489843.86865234,0.0370212144735912
internal_radiation,day_of_year,84212332.76829529,0.007327185073068161
internal_radiation,global_rad_wm2_med6,110196169.26638794,0.009587998574740289
internal_radiation,diffuse_rad_wm2_med6,37631460.78982544,0.0032742553105091997
internal_radiation,temp_c_ext_med6,16519057.682189941,0.001437297707963069
internal_radiation,rel_humidity_ext_med6,8765377.756408691,0.0007626619872088549
internal_radiation,dewpoint_gradient,1084115.050994873,9.43271770061781e-05
internal_radiation,vpd_ext_rolling_mean_30min,7158766.775039673,0.0006228732458934447
internal_radiation,vpd_ext_min_1h,8336341.250091553,0.0007253321831107099
internal_radiation,rad_integral_1h,51279032.31958008,0.00446170944114808
internal_radiation,rad_peak_intensity,358185844.8939209,0.031165197421999552
internal_radiation,rad_slope_30m,12523760.46029663,0.0010896730643461582
internal_radiation,rad_slope_1h,86250164.20791626,0.007504493640768132
internal_radiation,minutes_since_sunrise,1084829108.0168,0.09438930600534474
internal_radiation,minutes_since_sunset,2679130.505554199,0.000233107009434239
soil_temp_C,station_pressure_hpa,1067.4123609438539,0.004631428474607118
soil_temp_C,rel_humidity_ext,253.5196798145771,0.0011000043721887092
soil_temp_C,temp_c_ext,57287.655952610075,0.24856718052974688
soil_temp_C,temp_max_c_ext,99829.39067460643,0.4331528278014483
soil_temp_C,temp_min_c_ext,21565.834820309305,0.09357266705918157
soil_temp_C,temp_ground_c_ext,15719.476422049105,0.06820572195980305
soil_temp_C,wind_dir_deg,1003.7077477648854,0.004355018560091967
soil_temp_C,gust_dir_deg,559.0868322461029,0.0024258391315169483
soil_temp_C,wind_speed_max_1m_ms,407.08508521365,0.0017663140546538372
soil_temp_C,wind_speed_max_10m_ms,491.23299826309085,0.002131426034649396
soil_temp_C,gust_speed_ms,385.8704771324992,0.0016742653361456578
soil_temp_C,wind_dir_std_deg,620.2288481295109,0.002691130113445339
soil_temp_C,vpd_ext,379.1991377286613,0.0016453188554702962
soil_temp_C,abs_humidity_ext,1304.853913564235,0.005661670963918895
soil_temp_C,dew_point_ext,929.3653550744057,0.004032452055360228
soil_temp_C,diffuse_rad_wm2,1574.5803397055715,0.0068319952885129865
soil_temp_C,global_rad_wm2,746.3442596299574,0.0032383361692132143
soil_temp_C,direct_rad_wm2,355.00041699409485,0.0015403222783648602
soil_temp_C,hour_of_day,490.55740236490965,0.0021284946707317083
soil_temp_C,day_of_year,3157.009725969285,0.013698047047662821
soil_temp_C,global_rad_wm2_med6,483.9710960444063,0.002099917142729043
soil_temp_C,diffuse_rad_wm2_med6,1045.6828948743641,0.004537145822864867
soil_temp_C,temp_c_ext_med6,7882.3204298364,0.03420084366686659
soil_temp_C,rel_humidity_ext_med6,576.2033502021804,0.0025001065201555846
soil_temp_C,dewpoint_gradient,64.02821668237448,0.0002778140077550234
soil_temp_C,vpd_ext_rolling_mean_30min,464.59626603126526,0.002015851094126994
soil_temp_C,vpd_ext_min_1h,554.0844395603053,0.0024041340953248596
soil_temp_C,rad_integral_1h,756.0176260471344,0.003280308237655635
soil_temp_C,rad_peak_intensity,1171.3934495002031,0.005082595232629936
soil_temp_C,rad_slope_30m,567.0292259864509,0.002460300629126984
soil_temp_C,rad_slope_1h,617.8326681926847,0.0026807332542784783
soil_temp_C,minutes_since_sunrise,431.847654055804,0.0018737571297354864
soil_temp_C,minutes_since_sunset,924.8282147778082,0.004012765717135357
soil_temp_C,hour_sin,1437.0946816913784,0.0062354545188202095
soil_temp_C,hour_cos,4747.323053930653,0.02059830668504856
soil_temp_C,doy_sin,518.2084804624319,0.0022484707878728007
soil_temp_C,doy_cos,101.64593800902367,0.00044103470115979345
