timestamp,gap_hours,ph_true,ph_pred,ph_naive,ec_true,ec_pred,ec_naive,n_train,specialist_active,specialist_type
2025-09-18 12:00:00,1.5,7.27,6.8151694229245185,6.71,0.98,0.6665553045134915,0.968,208,False,base
2025-09-18 13:10:00,1.1666666666666667,7.08,7.484283764362335,7.27,0.662,1.1134235477998655,0.98,213,False,base
2025-09-18 14:10:00,1.0,6.65,7.483879702091217,7.08,0.709,0.8243997101354469,0.662,218,False,base
2025-09-18 15:10:00,1.0,6.8,6.503062063455582,6.65,0.68,0.6312376229681911,0.709,223,False,base
2025-09-21 06:30:00,63.333333333333336,6.19,6.356621104478836,6.8,0.501,0.7378295230924533,0.68,228,False,base
2025-09-21 07:20:00,0.8333333333333334,4.75,4.483539530871454,6.19,4.23,4.103696865382914,0.501,229,True,huber
2025-09-21 08:40:00,1.3333333333333333,4.75,4.5315511375665665,4.75,4.97,4.834927513455715,4.23,230,False,base
2025-09-21 10:30:00,1.8333333333333333,5.17,5.052925288677216,4.75,4.52,4.854935708859727,4.97,231,False,base
2025-09-21 11:40:00,1.1666666666666667,5.25,5.454602642059326,5.17,4.4,4.899257343954488,4.52,234,False,base
2025-09-21 13:40:00,2.0,5.33,5.49078731238842,5.25,4.53,4.764002958900574,4.4,237,False,base
2025-09-21 15:30:00,1.8333333333333333,5.4,5.777753310203552,5.33,3.87,4.381311494625007,4.53,241,False,base
