shock_kind,union_blend,shock_blend,gmin,wf_union,wf_shock,ho_union,ho_shock,wf_ph_r2,wf_ec_r2,wf_ph_mae,wf_ec_mae,ho_ph_r2,ho_ec_r2,ho_ph_mae,ho_ec_mae,sep21_ec_mae,min_wf,min_ho,ok_hold
huber,1.0,1.0,2.5,2,0,1,3,0.9505558835155431,0.9481007862944115,0.2621242018448865,0.15014216129319985,0.9205815026055999,0.9003843695513576,0.3317561875445747,0.22064269320154878,1.1902033309603426,0.9481007862944115,0.9003843695513576,True
huber,1.0,1.0,3.0,2,0,1,3,0.9505558835155431,0.9481007862944115,0.2621242018448865,0.15014216129319985,0.9205815026055999,0.9003843695513576,0.3317561875445747,0.22064269320154878,1.1902033309603426,0.9481007862944115,0.9003843695513576,True
huber,1.0,1.0,3.5,2,0,1,3,0.9505558835155431,0.9481007862944115,0.2621242018448865,0.15014216129319985,0.9205815026055999,0.9003843695513576,0.3317561875445747,0.22064269320154878,1.1902033309603426,0.9481007862944115,0.9003843695513576,True
huber,1.0,1.0,4.0,2,0,1,3,0.9505558835155431,0.9481007862944115,0.2621242018448865,0.15014216129319985,0.9205815026055999,0.9003843695513576,0.3317561875445747,0.22064269320154878,1.1902033309603426,0.9481007862944115,0.9003843695513576,True
huber,1.0,1.0,5.0,2,0,1,3,0.9505558835155431,0.9481007862944115,0.2621242018448865,0.15014216129319985,0.9205815026055999,0.9003843695513576,0.3317561875445747,0.22064269320154878,1.1902033309603426,0.9481007862944115,0.9003843695513576,True
ridge,0.85,0.85,2.0,2,0,0,4,0.9519903635239182,0.925005859117533,0.2599111202902021,0.16090556493061253,0.953340315885784,0.9554562969145782,0.282954845117373,0.16681657249800597,0.6519421239249142,0.925005859117533,0.953340315885784,True
ridge,0.85,0.9,2.0,2,0,0,4,0.9519903635239182,0.925005859117533,0.2599111202902021,0.16090556493061253,0.9518459124171343,0.9675628692679347,0.28550026413836027,0.14646629273713868,0.4484393263162413,0.925005859117533,0.9518459124171343,True
ridge,0.85,0.9,2.25,2,0,1,3,0.9519903635239182,0.925005859117533,0.2599111202902021,0.16090556493061253,0.9504032047799522,0.9482937320512057,0.29023338348363614,0.1600657569020108,0.5844339679649625,0.925005859117533,0.9482937320512057,True
ridge,0.85,0.9,2.5,2,0,1,3,0.9519903635239182,0.925005859117533,0.2599111202902021,0.16090556493061253,0.9504032047799522,0.9482937320512057,0.29023338348363614,0.1600657569020108,0.5844339679649625,0.925005859117533,0.9482937320512057,True
ridge,0.85,0.9,3.0,2,0,1,3,0.9519903635239182,0.925005859117533,0.2599111202902021,0.16090556493061253,0.9504032047799522,0.9482937320512057,0.29023338348363614,0.1600657569020108,0.5844339679649625,0.925005859117533,0.9482937320512057,True
ridge,0.85,0.9,3.5,2,0,1,3,0.9519903635239182,0.925005859117533,0.2599111202902021,0.16090556493061253,0.9504032047799522,0.9482937320512057,0.29023338348363614,0.1600657569020108,0.5844339679649625,0.925005859117533,0.9482937320512057,True
ridge,0.85,0.9,4.0,2,0,1,3,0.9519903635239182,0.925005859117533,0.2599111202902021,0.16090556493061253,0.9504032047799522,0.9482937320512057,0.29023338348363614,0.1600657569020108,0.5844339679649625,0.925005859117533,0.9482937320512057,True
ridge,0.85,0.9,5.0,2,0,1,3,0.9519903635239182,0.925005859117533,0.2599111202902021,0.16090556493061253,0.9504032047799522,0.9482937320512057,0.29023338348363614,0.1600657569020108,0.5844339679649625,0.925005859117533,0.9482937320512057,True
ridge,0.85,1.0,2.0,2,0,0,4,0.9519903635239182,0.925005859117533,0.2599111202902021,0.16090556493061253,0.9479165132770204,0.9699967928484102,0.29190769745315776,0.14738858427587953,0.45766224170365,0.925005859117533,0.9479165132770204,True
ridge,0.85,1.0,2.25,2,0,1,3,0.9519903635239182,0.925005859117533,0.2599111202902021,0.16090556493061253,0.9463383246806946,0.9436103659430113,0.29727312436847,0.1685357838347476,0.6691342372923306,0.925005859117533,0.9436103659430113,True
ridge,0.85,1.0,2.5,2,0,1,3,0.9519903635239182,0.925005859117533,0.2599111202902021,0.16090556493061253,0.9463383246806946,0.9436103659430113,0.29727312436847,0.1685357838347476,0.6691342372923306,0.925005859117533,0.9436103659430113,True
ridge,0.85,1.0,3.0,2,0,1,3,0.9519903635239182,0.925005859117533,0.2599111202902021,0.16090556493061253,0.9463383246806946,0.9436103659430113,0.29727312436847,0.1685357838347476,0.6691342372923306,0.925005859117533,0.9436103659430113,True
ridge,0.85,1.0,3.5,2,0,1,3,0.9519903635239182,0.925005859117533,0.2599111202902021,0.16090556493061253,0.9463383246806946,0.9436103659430113,0.29727312436847,0.1685357838347476,0.6691342372923306,0.925005859117533,0.9436103659430113,True
ridge,0.85,1.0,4.0,2,0,1,3,0.9519903635239182,0.925005859117533,0.2599111202902021,0.16090556493061253,0.9463383246806946,0.9436103659430113,0.29727312436847,0.1685357838347476,0.6691342372923306,0.925005859117533,0.9436103659430113,True
ridge,0.85,1.0,5.0,2,0,1,3,0.9519903635239182,0.925005859117533,0.2599111202902021,0.16090556493061253,0.9463383246806946,0.9436103659430113,0.29727312436847,0.1685357838347476,0.6691342372923306,0.925005859117533,0.9436103659430113,True
huber,0.85,0.8,2.0,2,0,0,4,0.9519903635239182,0.925005859117533,0.2599111202902021,0.16090556493061253,0.9415683889486022,0.9539994874612614,0.30354639214840223,0.16017886361186273,0.5855650350634821,0.925005859117533,0.9415683889486022,True
huber,0.85,0.8,2.25,2,0,1,3,0.9519903635239182,0.925005859117533,0.2599111202902021,0.16090556493061253,0.9409162659111596,0.9471990814506589,0.30539083828276803,0.1643558283819798,0.6273346827646527,0.925005859117533,0.9409162659111596,True
huber,0.85,0.8,2.5,2,0,1,3,0.9519903635239182,0.925005859117533,0.2599111202902021,0.16090556493061253,0.9409162659111596,0.9471990814506589,0.30539083828276803,0.1643558283819798,0.6273346827646527,0.925005859117533,0.9409162659111596,True
huber,0.85,0.8,3.0,2,0,1,3,0.9519903635239182,0.925005859117533,0.2599111202902021,0.16090556493061253,0.9409162659111596,0.9471990814506589,0.30539083828276803,0.1643558283819798,0.6273346827646527,0.925005859117533,0.9409162659111596,True
huber,0.85,0.8,3.5,2,0,1,3,0.9519903635239182,0.925005859117533,0.2599111202902021,0.16090556493061253,0.9409162659111596,0.9471990814506589,0.30539083828276803,0.1643558283819798,0.6273346827646527,0.925005859117533,0.9409162659111596,True
huber,0.85,0.8,4.0,2,0,1,3,0.9519903635239182,0.925005859117533,0.2599111202902021,0.16090556493061253,0.9409162659111596,0.9471990814506589,0.30539083828276803,0.1643558283819798,0.6273346827646527,0.925005859117533,0.9409162659111596,True
huber,0.85,0.8,5.0,2,0,1,3,0.9519903635239182,0.925005859117533,0.2599111202902021,0.16090556493061253,0.9409162659111596,0.9471990814506589,0.30539083828276803,0.1643558283819798,0.6273346827646527,0.925005859117533,0.9409162659111596,True
ridge,0.85,0.85,2.25,2,0,1,3,0.9519903635239182,0.925005859117533,0.2599111202902021,0.16090556493061253,0.9519704091315814,0.940448333644018,0.28737181077076296,0.1768418998228403,0.7521953971732575,0.925005859117533,0.940448333644018,True
ridge,0.85,0.85,2.5,2,0,1,3,0.9519903635239182,0.925005859117533,0.2599111202902021,0.16090556493061253,0.9519704091315814,0.940448333644018,0.28737181077076296,0.1768418998228403,0.7521953971732575,0.925005859117533,0.940448333644018,True
ridge,0.85,0.85,3.0,2,0,1,3,0.9519903635239182,0.925005859117533,0.2599111202902021,0.16090556493061253,0.9519704091315814,0.940448333644018,0.28737181077076296,0.1768418998228403,0.7521953971732575,0.925005859117533,0.940448333644018,True
ridge,0.85,0.85,3.5,2,0,1,3,0.9519903635239182,0.925005859117533,0.2599111202902021,0.16090556493061253,0.9519704091315814,0.940448333644018,0.28737181077076296,0.1768418998228403,0.7521953971732575,0.925005859117533,0.940448333644018,True
ridge,0.85,0.85,4.0,2,0,1,3,0.9519903635239182,0.925005859117533,0.2599111202902021,0.16090556493061253,0.9519704091315814,0.940448333644018,0.28737181077076296,0.1768418998228403,0.7521953971732575,0.925005859117533,0.940448333644018,True
ridge,0.85,0.85,5.0,2,0,1,3,0.9519903635239182,0.925005859117533,0.2599111202902021,0.16090556493061253,0.9519704091315814,0.940448333644018,0.28737181077076296,0.1768418998228403,0.7521953971732575,0.925005859117533,0.940448333644018,True
ridge,0.85,0.8,2.0,2,0,0,4,0.9519903635239182,0.925005859117533,0.2599111202902021,0.16090556493061253,0.954521188540381,0.937895433820554,0.28040942634085797,0.18921258212534722,0.8759022201983269,0.925005859117533,0.937895433820554,True
huber,0.85,0.85,2.0,2,0,0,4,0.9519903635239182,0.925005859117533,0.2599111202902021,0.16090556493061253,0.9373809657432196,0.9609590311843176,0.3093954670000282,0.1504803572527915,0.48857997147276977,0.925005859117533,0.9373809657432196,True
huber,0.85,0.85,2.25,2,0,1,3,0.9519903635239182,0.925005859117533,0.2599111202902021,0.16090556493061253,0.9366728921932385,0.9494702686801817,0.31141504415998983,0.15786276165616314,0.562404015506486,0.925005859117533,0.9366728921932385,True
huber,0.85,0.85,2.5,2,0,1,3,0.9519903635239182,0.925005859117533,0.2599111202902021,0.16090556493061253,0.9366728921932385,0.9494702686801817,0.31141504415998983,0.15786276165616314,0.562404015506486,0.925005859117533,0.9366728921932385,True
