weight_mode,gate,ph_blend,ec_blend,wf_active,ho_active,n_train,n_spec,n_shock,wf_ph_r2,wf_ec_r2,wf_ph_mae,wf_ec_mae,ho_ph_r2,ho_ec_r2,ho_ph_mae,ho_ec_mae,sep21_ec_mae,min_wf,min_ho,ok_hold
none,general,1.0,1.3,2,4,256,188,12,0.9505558835155431,0.9803583471380616,0.2621242018448865,0.12205748848618356,0.9016021873506496,0.7611877709593667,0.3605466401153409,0.28198341399270044,1.803610538871859,0.9505558835155431,0.7611877709593667,False
none,gap2_or_short,1.0,1.3,2,4,256,188,12,0.9505558835155431,0.9803583471380616,0.2621242018448865,0.12205748848618356,0.9016021873506496,0.7611877709593667,0.3605466401153409,0.28198341399270044,1.803610538871859,0.9505558835155431,0.7611877709593667,False
none,general,1.0,1.15,2,4,256,188,12,0.9505558835155431,0.9684470073944175,0.2621242018448865,0.13679963094992623,0.9016021873506496,0.7307797048740714,0.3605466401153409,0.30147623755400127,1.9985387744848673,0.9505558835155431,0.7307797048740714,False
none,gap2_or_short,1.0,1.15,2,4,256,188,12,0.9505558835155431,0.9684470073944175,0.2621242018448865,0.13679963094992623,0.9016021873506496,0.7307797048740714,0.3605466401153409,0.30147623755400127,1.9985387744848673,0.9505558835155431,0.7307797048740714,False
none,general,0.5,1.5,2,4,256,188,12,0.9485979362974962,0.9648187884494178,0.2670848352602188,0.141714322430415,0.9176135154453724,0.7945418929434914,0.3453200054850978,0.25874301249677256,1.5712065239125803,0.9485979362974962,0.7945418929434914,False
none,gap2_or_short,0.5,1.5,2,4,256,188,12,0.9485979362974962,0.9648187884494178,0.2670848352602188,0.141714322430415,0.9176135154453724,0.7945418929434914,0.3453200054850978,0.25874301249677256,1.5712065239125803,0.9485979362974962,0.7945418929434914,False
none,general,0.5,1.3,2,4,256,188,12,0.9485979362974962,0.9803583471380616,0.2670848352602188,0.12205748848618356,0.9176135154453724,0.7611877709593667,0.3453200054850978,0.28198341399270044,1.803610538871859,0.9485979362974962,0.7611877709593667,False
none,gap2_or_short,0.5,1.3,2,4,256,188,12,0.9485979362974962,0.9803583471380616,0.2670848352602188,0.12205748848618356,0.9176135154453724,0.7611877709593667,0.3453200054850978,0.28198341399270044,1.803610538871859,0.9485979362974962,0.7611877709593667,False
none,general,0.5,1.15,2,4,256,188,12,0.9485979362974962,0.9684470073944175,0.2670848352602188,0.13679963094992623,0.9176135154453724,0.7307797048740714,0.3453200054850978,0.30147623755400127,1.9985387744848673,0.9485979362974962,0.7307797048740714,False
none,gap2_or_short,0.5,1.15,2,4,256,188,12,0.9485979362974962,0.9684470073944175,0.2670848352602188,0.13679963094992623,0.9176135154453724,0.7307797048740714,0.3453200054850978,0.30147623755400127,1.9985387744848673,0.9485979362974962,0.7307797048740714,False
none,general,0.5,1.0,2,4,256,188,12,0.9485979362974962,0.9481007862944115,0.2670848352602188,0.15014216129319985,0.9176135154453724,0.6973097205340721,0.3453200054850978,0.3194393693018191,2.178170091963046,0.9481007862944115,0.6973097205340721,False
none,general,0.8,1.0,2,4,256,188,12,0.9520834065869288,0.9481007862944115,0.2591734262661735,0.15014216129319985,0.9083487035971953,0.6973097205340721,0.35445598618408125,0.3194393693018191,2.178170091963046,0.9481007862944115,0.6973097205340721,False
none,general,1.0,1.0,2,4,256,188,12,0.9505558835155431,0.9481007862944115,0.2621242018448865,0.15014216129319985,0.9016021873506496,0.6973097205340721,0.3605466401153409,0.3194393693018191,2.178170091963046,0.9481007862944115,0.6973097205340721,False
none,gap2_or_short,0.5,1.0,2,4,256,188,12,0.9485979362974962,0.9481007862944115,0.2670848352602188,0.15014216129319985,0.9176135154453724,0.6973097205340721,0.3453200054850978,0.3194393693018191,2.178170091963046,0.9481007862944115,0.6973097205340721,False
none,gap2_or_short,0.8,1.0,2,4,256,188,12,0.9520834065869288,0.9481007862944115,0.2591734262661735,0.15014216129319985,0.9083487035971953,0.6973097205340721,0.35445598618408125,0.3194393693018191,2.178170091963046,0.9481007862944115,0.6973097205340721,False
none,gap2_or_short,1.0,1.0,2,4,256,188,12,0.9505558835155431,0.9481007862944115,0.2621242018448865,0.15014216129319985,0.9016021873506496,0.6973097205340721,0.3605466401153409,0.3194393693018191,2.178170091963046,0.9481007862944115,0.6973097205340721,False
shock5,general,0.5,1.3,2,4,256,188,12,0.9470691569666975,0.980675793839697,0.27143922322374714,0.12076047435029715,0.9192386837368488,0.738933169096103,0.34380617190034624,0.2868071998602832,1.8518483975476867,0.9470691569666975,0.738933169096103,False
shock5,gap2_or_short,0.5,1.3,2,4,256,188,12,0.9470691569666975,0.980675793839697,0.27143922322374714,0.12076047435029715,0.9192386837368488,0.738933169096103,0.34380617190034624,0.2868071998602832,1.8518483975476867,0.9470691569666975,0.738933169096103,False
shock5,general,0.5,1.15,2,4,256,188,12,0.9470691569666975,0.9743006078946336,0.27143922322374714,0.1314878819586329,0.9192386837368488,0.7178480845413715,0.34380617190034624,0.2969508903914363,1.9532853028592174,0.9470691569666975,0.7178480845413715,False
shock5,gap2_or_short,0.5,1.15,2,4,256,188,12,0.9470691569666975,0.9743006078946336,0.27143922322374714,0.1314878819586329,0.9192386837368488,0.7178480845413715,0.34380617190034624,0.2969508903914363,1.9532853028592174,0.9470691569666975,0.7178480845413715,False
shock5,general,0.5,1.0,2,4,256,188,12,0.9470691569666975,0.9551899160523174,0.27143922322374714,0.14648865259052032,0.9192386837368488,0.6905249527770125,0.34380617190034624,0.3160034628612428,2.143811027557283,0.9470691569666975,0.6905249527770125,False
shock5,gap2_or_short,0.5,1.0,2,4,256,188,12,0.9470691569666975,0.9551899160523174,0.27143922322374714,0.14648865259052032,0.9192386837368488,0.6905249527770125,0.34380617190034624,0.3160034628612428,2.143811027557283,0.9470691569666975,0.6905249527770125,False
shock_gap,general,0.5,1.3,2,4,256,188,12,0.9464084668074975,0.9783442742107026,0.2728386582322166,0.12668083882920486,0.9186396649577566,0.7252634493452288,0.3445005476870747,0.2949304648276883,1.933081047221738,0.9464084668074975,0.7252634493452288,False
shock_gap,gap2_or_short,0.5,1.3,2,4,256,188,12,0.9464084668074975,0.9783442742107026,0.2728386582322166,0.12668083882920486,0.9186396649577566,0.7252634493452288,0.3445005476870747,0.2949304648276883,1.933081047221738,0.9464084668074975,0.7252634493452288,False
