experiment,n_features,mae,rmse,naive_mae,r2,aug22_mae,aug22_rmse,aug22_n,aug22_gain_vs_naive,sep21_pred,sep21_err,runtime_s,err_20250817_124000,err_20250819_173000,err_20250821_130000,err_20250820_120000,err_20250814_162000,err_20250821_150000
aug_event25|shallow|aug_regime,25,0.18897913749349288,0.47716065532306035,0.24989794871794865,0.8354523346731628,0.41626228392850173,0.638198851997768,11,0.2262668069805891,0.7656242382493769,3.4643757617506235,14.88273572921753,1.7160239493969724,0.6818369530108175,0.5634809178443454,0.7385914264604837,0.03544604573098331,0.18614432961124294
aug_competition25|shallow|large_delta,25,0.20034856350899974,0.4834511066870522,0.24989794871794865,0.8310852442854519,0.4179536778184321,0.5849603777077738,11,0.2245754130906587,0.6315480872887564,3.598451912711244,14.811787843704224,1.457225371371324,0.7357931638964477,0.5255404951854799,0.7621246050487397,0.0721013760609357,0.18324836853875515
aug_competition25|base|large_delta,25,0.1951840509103291,0.48422755095404557,0.24989794871794865,0.8305422391682898,0.42481778957904337,0.5837639896079192,11,0.21771130133004746,0.5821996607293175,3.647800339270683,15.93153691291809,1.41795729064666,0.7897342471891009,0.46765868038811087,0.6863995874563559,0.018489507141847383,0.17590867651582753
aug_washout25|base|large_delta,25,0.197094879227028,0.4896340597825512,0.24989794871794865,0.8267370466432971,0.4257157725791654,0.6061960064319455,11,0.21681331832992545,0.5783813022124189,3.6516186977875815,14.715679168701172,1.5012707195490607,0.7898801438848055,0.4417240967935536,0.7630201329585727,0.003562107143086468,0.1434259736580903
aug_event25|shallow|large_delta,25,0.20885751240613437,0.4924784032043418,0.24989794871794865,0.8247181888645139,0.43267077939838977,0.6040199937939357,11,0.20985831151070106,0.6114534531565915,3.618546546843409,14.393184900283813,1.5003744154685608,0.6816545753723511,0.5421430164698609,0.7913590869484154,0.06359713342813311,0.1843060077868286
aug_delayed_flush25|shallow|base,25,0.20076436559603078,0.486477514706894,0.24989794871794865,0.8289638093027003,0.4344815369627671,0.6335397481272698,11,0.20804755394632374,0.6984429915086283,3.5315570084913723,14.356297016143799,1.681368892170853,0.5873053658104779,0.6017714835850978,0.7988852584762259,0.018238962079937693,0.21078286212481046
aug_washout25|shallow|large_delta,25,0.21746452251153778,0.497257521362695,0.24989794871794865,0.8212997361708734,0.43495060989498774,0.603792797459804,11,0.2075784810141031,0.6274525903880941,3.6025474096119066,14.583441495895386,1.544268638306045,0.6725424430793852,0.5291639173789549,0.7341377300512612,0.07468691197136224,0.17936894398458658
aug_event25|shallow|base,25,0.20035855559993468,0.4852800646030728,0.24989794871794865,0.8298047741347584,0.4353888686160726,0.6267718137718257,11,0.2071402222930182,0.6776093164992075,3.552390683500793,14.664088010787964,1.6455497282276386,0.6030241962498317,0.5620253969406961,0.8163164329221374,0.06230650268089333,0.2143852694804188
current25|deep_lowreg|base,25,0.20984387861540066,0.4961756958904323,0.24989794871794865,0.8220764451973032,0.43539033527429666,0.6011371636952291,11,0.20713875563479417,0.6056642177055991,3.624335782294401,19.846625089645386,1.5800779857811778,0.7539617040521782,0.3422289276557209,0.5913257881739896,0.20785491230637287,0.4187668169642211
aug_delayed_flush25|base|large_delta,25,0.1923687332860895,0.485422074820674,0.24989794871794865,0.8297051491996116,0.437498519982873,0.6078915049212188,11,0.20503057092621785,0.6048600703187279,3.6251399296812723,18.14617919921875,1.4909678342692572,0.7832754336296475,0.43880637434905223,0.7845722344255001,0.013797504751840162,0.1485397717880237
