mode,max_rows,blend,wf_active,ho_active,n_spec,wf_ph_r2,wf_ec_r2,wf_ph_mae,wf_ec_mae,ho_ph_r2,ho_ec_r2,ho_ph_mae,ho_ec_mae,sep21_ec_mae,wf_min,ho_min,ok
shock_or_acid,4,3.0,2,4,178,0.7802425291560586,-25.51187025069723,0.3647334735014472,1.0509868488180483,0.8055968736771487,0.06797778829820633,0.4231451745586049,0.4031574167437556,2.9987698550474673,-25.51187025069723,0.06797778829820633,False
union,8,3.0,2,4,188,0.7658291767452392,-26.40624630678426,0.3719403031234664,1.0631909850995493,0.8090581270375699,0.05229428765565858,0.42145317863631354,0.4104102766897558,3.0878791658424127,-26.40624630678426,0.05229428765565858,False
shock_or_acid,8,3.0,2,4,188,0.7658291767452392,-26.40624630678426,0.3719403031234664,1.0631909850995493,0.8090581270375699,0.05229428765565858,0.42145317863631354,0.4104102766897558,3.0878791658424127,-26.40624630678426,0.05229428765565858,False
union_shock3,8,3.0,2,4,188,0.8288339437491916,-28.94129807041942,0.35216755116019244,1.1049177840823359,0.829957025337952,-0.8615988363528935,0.4107895326920155,0.4654221287673156,3.637997686618011,-28.94129807041942,-0.8615988363528935,False
shock_or_acid_shock3,8,3.0,2,4,188,0.8288339437491916,-28.94129807041942,0.35216755116019244,1.1049177840823359,0.829957025337952,-0.8615988363528935,0.4107895326920155,0.4654221287673156,3.637997686618011,-28.94129807041942,-0.8615988363528935,False
union_shock3,4,3.0,2,4,178,0.8358862247035007,-29.61259656033546,0.3472587262516211,1.1186475336518131,0.8357311946815442,-1.02753490782192,0.40619425403264325,0.4645392679748766,3.6125883673586774,-29.61259656033546,-1.02753490782192,False
shock_or_acid_shock3,4,3.0,2,4,178,0.8358862247035007,-29.61259656033546,0.3472587262516211,1.1186475336518131,0.8357311946815442,-1.02753490782192,0.40619425403264325,0.4645392679748766,3.6125883673586774,-29.61259656033546,-1.02753490782192,False
union_shock8,4,3.0,2,4,178,0.8746953234511378,-50.14917211161933,0.33166447464243637,1.4039311789281856,0.8394377636498385,-1.8312147093008027,0.40632542971058233,0.5040877531673208,4.008073219283119,-50.14917211161933,-1.8312147093008027,False
union_shock8,8,3.0,2,4,188,0.8603776709328792,-52.45981048387043,0.33957915278900763,1.429085747637441,0.8197681586002195,-1.4562689603194379,0.41847912148684774,0.5067018453411262,4.050794852356116,-52.45981048387043,-1.4562689603194379,False
union,4,3.5,2,4,178,0.6936312910841197,-131.85924196952337,0.39227323818788373,2.188274891512891,0.7752354595229685,-1.330556144387118,0.439044404874786,0.5887225611657647,4.854421299267559,-131.85924196952337,-1.330556144387118,False
shock_or_acid,4,3.5,2,4,178,0.6936312910841197,-131.85924196952337,0.39227323818788373,2.188274891512891,0.7752354595229685,-1.330556144387118,0.439044404874786,0.5887225611657647,4.854421299267559,-131.85924196952337,-1.330556144387118,False
