name,blend,ph_min,irr_min,gap_max,dyn_weight,active,ph_r2,ec_r2,ph_mae,ec_mae,sep2_m_pred,sep2_m_err,sep2_m_type,sep2_a_pred,sep2_a_err,sep2_a_type
overnight_weighted,0.6,9.0,1000,26,4.0,5,0.9313247472466524,0.9058688272410218,0.3035230568547301,0.16302847274506854,9.406229106494012,1.4062291064940116,huber,9.501739144325256,0.8382608556747435,base
overnight,0.7,9.0,1000,26,0.0,5,0.9431833916883617,0.9120656270059795,0.28251269502557463,0.1653222378201937,9.295365366746221,1.2953653667462213,huber,9.501739144325256,0.8382608556747435,base
overnight_weighted,0.7,9.0,1000,26,4.0,5,0.9301346099055924,0.9219690616355767,0.30368761849542847,0.1584363990138759,9.4304164665536,1.4304164665536003,huber,9.501739144325256,0.8382608556747435,base
overnight,0.8,9.0,1000,26,0.0,5,0.9437759687798756,0.9255379993440223,0.2796522675991511,0.16190313030020606,9.300259712547613,1.3002597125476125,huber,9.501739144325256,0.8382608556747435,base
overnight_weighted,0.8,9.0,1000,26,4.0,5,0.9285483494173244,0.9382638708436233,0.303852180136127,0.15294653609423897,9.45460382661319,1.4546038266131909,huber,9.501739144325256,0.8382608556747435,base
overnight,0.9,9.0,1000,26,0.0,5,0.9440511041983137,0.9378986559026103,0.27679184017272757,0.1578688420624521,9.305154058349004,1.3051540583490038,huber,9.501739144325256,0.8382608556747435,base
overnight_weighted,0.9,9.0,1000,26,4.0,5,0.9265659657818487,0.9536849677917292,0.30401674177682547,0.14638449380264115,9.47879118667278,1.4787911866727796,huber,9.501739144325256,0.8382608556747435,base
overnight,1.0,9.0,1000,26,0.0,5,0.9440087979436763,0.947691812054167,0.2745101630784436,0.15310568819822293,9.310048404150397,1.3100484041503968,huber,9.501739144325256,0.8382608556747435,base
overnight_weighted,1.0,9.0,1000,26,4.0,5,0.924187458999165,0.9665189471710555,0.304181303417524,0.13854251430590014,9.502978546732368,1.5029785467323684,huber,9.501739144325256,0.8382608556747435,base
overnight,0.4,9.0,1500,26,0.0,3,0.9416539823632295,0.8745196917858402,0.287355641755962,0.17160328593544258,9.280682329342044,1.280682329342044,huber,9.501739144325256,0.8382608556747435,base
overnight_weighted,0.4,9.0,1500,26,4.0,3,0.93840158238544,0.895290275601426,0.2917655102332405,0.16493586138630806,9.357854386374832,1.3578543863748322,huber,9.501739144325256,0.8382608556747435,base
overnight,0.5,9.0,1500,26,0.0,3,0.9436815062568833,0.8876048878497804,0.2835606304423178,0.1690141004224637,9.285576675143435,1.2855766751434352,huber,9.501739144325256,0.8382608556747435,base
overnight_weighted,0.5,9.0,1500,26,4.0,3,0.9398874141321005,0.916425873648905,0.2890729660389159,0.15895368405633664,9.382041746434423,1.3820417464344228,huber,9.501739144325256,0.8382608556747435,base
overnight,0.6,9.0,1500,26,0.0,3,0.9453693399918403,0.9015436754331642,0.2797656191286735,0.1659778966953374,9.290471020944828,1.2904710209448282,huber,9.501739144325256,0.8382608556747435,base
overnight_weighted,0.6,9.0,1500,26,4.0,3,0.941142118859046,0.9385685504928777,0.2863804218445912,0.1514007082654915,9.406229106494012,1.4062291064940116,huber,9.501739144325256,0.8382608556747435,base
overnight,0.7,9.0,1500,26,0.0,3,0.9467174835681004,0.9159291528625523,0.2759706078150293,0.16241078202598325,9.295365366746221,1.2953653667462213,huber,9.501739144325256,0.8382608556747435,base
overnight_weighted,0.7,9.0,1500,26,4.0,3,0.9421656965662764,0.9595324079366171,0.28368787765026654,0.14186812879393754,9.4304164665536,1.4304164665536003,huber,9.501739144325256,0.8382608556747435,base
overnight,0.8,9.0,1500,26,0.0,3,0.9477259369856638,0.9300651187084273,0.27217559650138495,0.15821282877385048,9.300259712547613,1.3002597125476125,huber,9.501739144325256,0.8382608556747435,base
