name,features,max_rows,feat_mode,ec_weight,spec_mode,weight_mode,blend,gate_gap,n_train,n_spec,wf_ph_mae,wf_ph_r2,wf_ec_mae,wf_ec_r2,ho_ph_mae,ho_ph_r2,ho_ec_mae,ho_ec_r2,sep21_ec_mae,min_wf_r2,min_ho_r2,score
extra_skipNone,52,-1,pressure,1.0,union,none,0.7,10.0,256,188,0.26292667390528046,0.9482284435296331,0.16747850981450152,0.9345788784639175,0.38878186344187915,0.8877758283886413,0.3799751834824896,0.558996806411935,2.6981836293669703,0.9345788784639175,0.558996806411935,2.318663824680372
extra_shockwide,52,8,pressure,1.0,shockwide,none,0.7,10.0,256,188,0.26292667390528046,0.9482284435296331,0.16747850981450152,0.9345788784639175,0.38878186344187915,0.8877758283886413,0.3799751834824896,0.558996806411935,2.6981836293669703,0.9345788784639175,0.558996806411935,2.318663824680372
extra_ecw1.5,52,8,pressure,1.5,union,none,0.5,10.0,256,188,0.26969214803102703,0.9463294858231229,0.18109355040043754,0.8893687176399916,0.37646598554974836,0.9013727310850294,0.3861860488593581,0.5558795860854135,2.7131155578374893,0.8893687176399916,0.5558795860854135,2.2211611015134376
extra_skip4,52,4,pressure,1.0,union,none,0.7,10.0,246,178,0.25751797549801736,0.9510327935072763,0.1649927100155778,0.9370946145754818,0.38508959592786285,0.8890751246908416,0.3829172389604902,0.55209180543214,2.7107588096819875,0.9370946145754818,0.55209180543214,2.31669904478789
extra_skip8,52,8,pressure,1.0,union,none,0.5,10.0,256,188,0.2700111992382427,0.9462794869577671,0.1785436779689672,0.8920477059639167,0.3780253210553382,0.9008242693857019,0.39030538121980934,0.5336857859480757,2.8014856067401688,0.8920477059639167,0.5336857859480757,2.204011386038154
extra_skipNone,52,-1,pressure,1.0,union,none,0.5,10.0,256,188,0.2700111992382427,0.9462794869577671,0.1785436779689672,0.8920477059639167,0.3780253210553382,0.9008242693857019,0.39030538121980934,0.5336857859480757,2.8014856067401688,0.8920477059639167,0.5336857859480757,2.204011386038154
extra_shockwide,52,8,pressure,1.0,shockwide,none,0.5,10.0,256,188,0.2700111992382427,0.9462794869577671,0.1785436779689672,0.8920477059639167,0.3780253210553382,0.9008242693857019,0.39030538121980934,0.5336857859480757,2.8014856067401688,0.8920477059639167,0.5336857859480757,2.204011386038154
extra_skip4,52,4,pressure,1.0,union,none,0.5,10.0,246,178,0.26610235753588135,0.9494528970413477,0.169958508939805,0.9042836923715412,0.37605871442612687,0.9002736989572779,0.3946684801399611,0.5216990960972819,2.8282712214766965,0.9042836923715412,0.5216990960972819,2.217341083024411
extra_salt_only,52,8,pressure,1.0,salt_only,none,0.85,10.0,256,76,0.534206713330677,-0.21889514554405087,1.8964319382316095,-92.47350104444922,0.5008910798185996,0.6396649293431864,0.3607428806064594,0.5118226031944129,2.5058606006066686,-92.47350104444922,0.5118226031944129,-184.88661444947164
extra_salt_only,52,8,pressure,1.0,salt_only,none,1.0,10.0,256,76,0.5750421989587239,-0.611092220395751,4.595653619205306,-623.58445101147,0.5273188059761164,0.5525741503485353,0.35109022477438057,0.5093268050215076,2.4093340422858796,-623.58445101147,0.5093268050215076,-1247.6489239867144
extra_salt_only,52,8,pressure,1.0,salt_only,none,0.7,10.0,256,76,0.4933712277026302,0.11621435035339378,0.8474463118153882,-12.868987634619112,0.47446335366108283,0.715811982294638,0.37623586208004245,0.5065774365343585,2.6607904153424995,-12.868987634619112,0.5065774365343585,-25.47613426748295
extra_salt_only,52,8,pressure,1.0,salt_only,none,0.5,10.0,256,76,0.43892391337093173,0.47422411110970564,0.36998243100019124,-0.1508293132784142,0.43922638549762655,0.80031781236963,0.3923163257724876,0.49416161310516704,2.82159505226695,-0.1508293132784142,0.49416161310516704,0.040043235193802845
