kind,blend,gmin,gmax,wf_active,ho_active,wf_ph_r2,wf_ec_r2,wf_ph_mae,wf_ec_mae,ho_ph_r2,ho_ec_r2,ho_ph_mae,ho_ec_mae,sep21_ec_mae,min_wf,min_ho,ok_hold
ridge,0.9,0.75,10,1,4,0.8906630008884148,0.7972817868142512,0.32035086579324984,0.19917406444492283,0.9518459124171343,0.9675628692679347,0.28550026413836027,0.14646629273713868,0.4484393263162413,0.7972817868142512,0.9518459124171343,True
ridge,0.9,0.75,26,1,4,0.8906630008884148,0.7972817868142512,0.32035086579324984,0.19917406444492283,0.9518459124171343,0.9675628692679347,0.28550026413836027,0.14646629273713868,0.4484393263162413,0.7972817868142512,0.9518459124171343,True
ridge,1.0,0.0,10,1,4,0.8850968610392856,0.7953450940732896,0.32300887328201683,0.19957275527228038,0.9479165132770204,0.9699967928484102,0.29190769745315776,0.14738858427587953,0.45766224170365,0.7953450940732896,0.9479165132770204,True
ridge,1.0,0.0,26,1,4,0.8850968610392856,0.7953450940732896,0.32300887328201683,0.19957275527228038,0.9479165132770204,0.9699967928484102,0.29190769745315776,0.14738858427587953,0.45766224170365,0.7953450940732896,0.9479165132770204,True
ridge,1.0,0.75,10,1,4,0.8850968610392856,0.7953450940732896,0.32300887328201683,0.19957275527228038,0.9479165132770204,0.9699967928484102,0.29190769745315776,0.14738858427587953,0.45766224170365,0.7953450940732896,0.9479165132770204,True
ridge,1.0,0.75,26,1,4,0.8850968610392856,0.7953450940732896,0.32300887328201683,0.19957275527228038,0.9479165132770204,0.9699967928484102,0.29190769745315776,0.14738858427587953,0.45766224170365,0.7953450940732896,0.9479165132770204,True
ridge,0.7,1.0,10,0,4,0.9273841388412758,0.825955273855608,0.2964287980397542,0.19300213098437696,0.9559423417045692,0.890660915469517,0.27531858829888345,0.2299573976257197,1.2833503752020516,0.825955273855608,0.890660915469517,False
ridge,0.7,1.0,26,0,4,0.9273841388412758,0.825955273855608,0.2964287980397542,0.19300213098437696,0.9559423417045692,0.890660915469517,0.27531858829888345,0.2299573976257197,1.2833503752020516,0.825955273855608,0.890660915469517,False
ridge,0.7,1.5,10,0,4,0.9273841388412758,0.825955273855608,0.2964287980397542,0.19300213098437696,0.9559423417045692,0.890660915469517,0.27531858829888345,0.2299573976257197,1.2833503752020516,0.825955273855608,0.890660915469517,False
ridge,0.7,1.5,26,0,4,0.9273841388412758,0.825955273855608,0.2964287980397542,0.19300213098437696,0.9559423417045692,0.890660915469517,0.27531858829888345,0.2299573976257197,1.2833503752020516,0.825955273855608,0.890660915469517,False
ridge,0.7,2.0,10,0,4,0.9273841388412758,0.825955273855608,0.2964287980397542,0.19300213098437696,0.9559423417045692,0.890660915469517,0.27531858829888345,0.2299573976257197,1.2833503752020516,0.825955273855608,0.890660915469517,False
