ec0_max,gap_max,walk_mae,walk_r2,hold_mae,hold_r2,wf_gated_n,hold_gated_n,wf_gated_mae,sep21_mae,sep21_0720_pred,sep21_0720_err,current
1.5,15.0,0.14286075471648113,0.955112116224662,0.21848371268825068,0.9078925639588499,4,6,0.36038540386682993,0.1392722307767371,4.240669990944981,0.010669990944980334,False
1.5,20.0,0.14286075471648113,0.955112116224662,0.21848371268825068,0.9078925639588499,4,6,0.36038540386682993,0.1392722307767371,4.240669990944981,0.010669990944980334,False
1.5,26.0,0.14286075471648113,0.955112116224662,0.21848371268825068,0.9078925639588499,4,6,0.36038540386682993,0.1392722307767371,4.240669990944981,0.010669990944980334,False
1.5,999.0,0.14286075471648113,0.955112116224662,0.21848371268825068,0.9078925639588499,4,6,0.36038540386682993,0.1392722307767371,4.240669990944981,0.010669990944980334,False
999.0,6.0,0.14286075471648113,0.955112116224662,0.2550346604272854,0.8298491167949609,4,4,0.36038540386682993,0.1392722307767371,4.240669990944981,0.010669990944980334,False
999.0,8.0,0.14286075471648113,0.955112116224662,0.23603321914918304,0.8748380918736571,4,5,0.36038540386682993,0.1392722307767371,4.240669990944981,0.010669990944980334,False
999.0,10.0,0.14286075471648113,0.955112116224662,0.21848371268825068,0.9078925639588499,4,6,0.36038540386682993,0.1392722307767371,4.240669990944981,0.010669990944980334,False
999.0,12.0,0.14286075471648113,0.955112116224662,0.21848371268825068,0.9078925639588499,4,6,0.36038540386682993,0.1392722307767371,4.240669990944981,0.010669990944980334,False
999.0,15.0,0.14286075471648113,0.955112116224662,0.21848371268825068,0.9078925639588499,4,6,0.36038540386682993,0.1392722307767371,4.240669990944981,0.010669990944980334,False
999.0,20.0,0.14286075471648113,0.955112116224662,0.21848371268825068,0.9078925639588499,4,6,0.36038540386682993,0.1392722307767371,4.240669990944981,0.010669990944980334,False
999.0,26.0,0.14286075471648113,0.955112116224662,0.21848371268825068,0.9078925639588499,4,6,0.36038540386682993,0.1392722307767371,4.240669990944981,0.010669990944980334,False
999.0,999.0,0.14286075471648113,0.955112116224662,0.21848371268825068,0.9078925639588499,4,6,0.36038540386682993,0.1392722307767371,4.240669990944981,0.010669990944980334,False
