skip_cap,feature_set,xgb_set,warmup,max_rows,train_mode,pred_mode,shock_weight,blend,feature_count,n_spec_final,n_shock_final,wf_active,wf_ph_r2,wf_ec_r2,wf_min_r2,wf_ph_mae,wf_ec_mae,ho_active,ho_ph_r2,ho_ec_r2,ho_ph_mae,ho_ec_mae
48.0,current_union,current,45,12,chem_event,salt_shock_strict,8.0,0.0,44,343,12,2,0.8263785584621482,0.8295549259414787,0.8263785584621482,0.4572016106105728,0.1859937575866482,4,0.9481739062088331,0.46991204242137186,0.28630851808190333,0.3826008839163425
72.0,current_union,current,45,4,chem_event,salt_shock_strict,8.0,0.8,44,323,12,2,0.8260309737503422,0.8706285400445021,0.8260309737503422,0.4395118509572663,0.16960459183001947,4,0.9366988630882292,0.6850882529313169,0.30392945038953273,0.3113482444887625
48.0,current_union,current,45,4,chem_event,salt_shock_strict,8.0,0.0,44,251,12,2,0.8258230926033732,0.8371495263735725,0.8258230926033732,0.456657996335998,0.1747064550388542,4,0.9419319290631379,0.4386760579260194,0.2991092357691377,0.3947221580673751
96.0,current_union,current,45,4,chem_event,salt_shock_strict,8.0,0.8,44,364,12,2,0.8255990901874812,0.8382406857886455,0.8255990901874812,0.44504785484191756,0.18170178490753136,4,0.9377330163836112,0.6439288189877639,0.29495461984955434,0.31981871979764254
48.0,current_union,current,45,8,chem_event,salt_shock_strict,8.0,0.0,44,339,12,2,0.8248068964607232,0.8290239514284921,0.8248068964607232,0.45877303253859264,0.18026364764344793,4,0.9490304588977159,0.47056314810991606,0.2731428644172847,0.3813364904976232
48.0,current_union,current,45,8,chem_event,salt_shock_strict,8.0,1.2,44,339,12,2,0.8245069963795584,0.9598845596695155,0.8245069963795584,0.4587227266518028,0.13815195221365234,4,0.8706761936364519,0.6523788201096684,0.34732498140847873,0.3018029604486977
96.0,current_union,current,50,4,chem_event,salt_shock_strict,8.0,0.0,44,364,12,2,0.8856185663179013,0.8244571695562721,0.8244571695562721,0.3918935457553904,0.1901391985688563,4,0.9399051453212278,0.5268127385298567,0.29115210163593286,0.3629060886990021
72.0,current_union,current,45,12,chem_event,salt_shock_strict,8.0,1.0,44,509,12,2,0.8221877598935802,0.9617060591342259,0.8221877598935802,0.44636175502234793,0.13177263913376688,4,0.8982884249163477,0.6276336330504411,0.3176170104523295,0.3334192818781738
96.0,current_union,current,45,4,chem_event,salt_shock_strict,8.0,0.0,44,364,12,2,0.8220020823079985,0.8245575283747609,0.8220020823079985,0.4522463640314526,0.18731823959508898,4,0.9399051453212278,0.5268127385298567,0.29115210163593286,0.3629060886990021
72.0,current_union,current,45,4,chem_event,salt_shock_strict,8.0,1.0,44,323,12,2,0.8207772711779947,0.883333805599399,0.8207772711779947,0.44776922073328324,0.16523388144421475,4,0.9363551655683825,0.7296175145412704,0.30424685704542137,0.2912814844884119
72.0,current_union,current,45,4,chem_event,salt_shock_strict,8.0,0.0,44,323,12,2,0.8197023130972763,0.8304890190183103,0.8197023130972763,0.45079189564101385,0.18199791606552182,4,0.9379704695008423,0.5142913107438888,0.302659823346883,0.37362688321010357
96.0,current_union,current,45,4,chem_event,salt_shock_strict,8.0,1.0,44,364,12,2,0.8196915207320559,0.8419187065477413,0.8196915207320559,0.45321666609815764,0.1799980129000776,4,0.9371397098736477,0.6737670266726083,0.2959052496357904,0.3069340599856149
72.0,current_union,current,45,8,chem_event,salt_shock_strict,8.0,1.0,44,446,12,2,0.8159924806921964,0.9343881831485668,0.8159924806921964,0.45266904707154576,0.14239463968176058,4,0.911663681790118,0.6751545164764896,0.3273517311195956,0.3132404780875545
