experiment,feature_set,params,capacity_ml,et_scale,n_features,mae,rmse,naive_mae,r2,aug22_mae,aug22_rmse,aug22_n,aug_all_mae,aug_all_n,sep21_0720_pred,sep21_0720_err
compact25_pot|base|cap1800|et150,compact25_pot,base,1800,150,25,0.20427577888394174,0.49290218003342373,0.24673468354430375,0.8260443748345229,0.4154575144805978,0.5549462263913193,11,0.27738949635556176,21,0.5358079992523915,3.694192000747609
compact25_pot|base|cap1800|et250,compact25_pot,base,1800,250,25,0.2137879276158648,0.4728101271065634,0.24673468354430375,0.8399371522824168,0.38466432002011436,0.5103497887620821,11,0.2544341972982598,21,0.8179158455145575,3.4120841544854428
compact25_pot|base|cap2500|et80,compact25_pot,base,2500,80,25,0.20550877315072758,0.5033480553651988,0.24673468354430375,0.8185931052824433,0.489239930272246,0.6379334947954666,11,0.30985246532411315,21,0.48469981376229926,3.745300186237701
compact25_pot|base|cap2500|et150,compact25_pot,base,2500,150,25,0.2086844155330551,0.49993815852839346,0.24673468354430375,0.8210426370929316,0.42939214142772003,0.5606641234915728,11,0.2847966561513908,21,0.5190372939952406,3.71096270600476
compact25_pot|base|cap2500|et250,compact25_pot,base,2500,250,25,0.22017559606300033,0.47316070583308195,0.24673468354430375,0.839699697837159,0.3986228658497989,0.5162152316834433,11,0.26198075217044015,21,0.886866907804899,3.3431330921951012
compact25_pot|base|cap3200|et80,compact25_pot,base,3200,80,25,0.20313105654291988,0.5003198183096216,0.24673468354430375,0.8207692956897428,0.49290966234930056,0.6395057788457986,11,0.3118205126865159,21,0.4903085107093263,3.7396914892906743
compact25_pot|base|cap3200|et150,compact25_pot,base,3200,150,25,0.2070356956727102,0.4961064404492247,0.24673468354430375,0.8237753205772032,0.4263260385156368,0.5552618215910898,11,0.28368580936748444,21,0.5394150038129123,3.6905849961870882
compact25_pot|base|cap3200|et250,compact25_pot,base,3200,250,25,0.2194941770733582,0.4701537662473789,0.24673468354430375,0.8417306430075071,0.4078566933243636,0.5154946072410562,11,0.2658602018650996,21,0.9070693735933821,3.3229306264066185
compact25_pot|base|cap4000|et80,compact25_pot,base,4000,80,25,0.20305854931813513,0.5016860264214004,0.24673468354430375,0.8197891195791497,0.488893126537654,0.6388368259686973,11,0.3107425444142057,21,0.48353800633602967,3.7464619936639707
compact25_pot|base|cap4000|et150,compact25_pot,base,4000,150,25,0.205709477655845,0.4939076937318418,0.24673468354430375,0.8253339167234602,0.4167591784810012,0.5499013707247521,11,0.2760323184416197,21,0.5233860860626943,3.706613913937306
compact25_pot|base|cap4000|et250,compact25_pot,base,4000,250,25,0.2192227559351033,0.4733352230661208,0.24673468354430375,0.8395814279811697,0.4059249319652391,0.5315968689288668,11,0.2646697730918891,21,0.8820553716318331,3.3479446283681673
base_plus_pot35|cfg19_balanced|cap1200|et150,base_plus_pot35,cfg19_balanced,1200,150,35,0.2030499346104408,0.48585542616998323,0.24673468354430375,0.8309827178366538,0.3958945095958029,0.54132565739861,11,0.26631397986822025,21,0.5809053847890187,3.6490946152109816
base_plus_pot35|cfg39_aug_focus|cap1200|et150,base_plus_pot35,cfg39_aug_focus,1200,150,35,0.21302864898118723,0.4984796437650509,0.24673468354430375,0.8220852909271353,0.4013022857308812,0.5705486077789254,11,0.26903561039145674,21,0.5969864802341814,3.633013519765819
base_plus_pot35|cfg19_balanced|cap2500|et80,base_plus_pot35,cfg19_balanced,2500,80,35,0.1982154082222607,0.48801573346162314,0.24673468354430375,0.8294763395906045,0.4109667248718171,0.5622063478636994,11,0.27230627139437347,21,0.5289685231288604,3.70103147687114
base_plus_pot35|cfg39_aug_focus|cap2500|et80,base_plus_pot35,cfg39_aug_focus,2500,80,35,0.20597191704577741,0.5035385527875769,0.24673468354430375,0.8184557685635976,0.39549077181250775,0.5604619780258372,11,0.26017252536747265,21,0.5311796397664403,3.69882036023356
base_plus_pot35|cfg19_balanced|cap2500|et150,base_plus_pot35,cfg19_balanced,2500,150,35,0.19677637690302113,0.4776432187419576,0.24673468354430375,0.8366480844345355,0.3610477084204218,0.512798252571305,11,0.2487717570569684,21,0.5978632824603051,3.6321367175396952
